Restaurant Name,Business Email,City,Region/State,Country,Website,Source URL,Needs Verification
Le Jules Verne,reservation.jv@lejulesverne-paris.com,Paris,Île-de-France,France,https://www.restaurants-toureiffel.com/en/jules-verne-restaurant.html,https://www.restaurants-toureiffel.com/en/jules-verne-restaurant.html,
Le Train Bleu,reservation.trainbleu@ssp.fr,Paris,Île-de-France,France,https://www.le-train-bleu.com,https://www.le-train-bleu.com/en/,
Girafe,contact@girafe-restaurant.com,Paris,Île-de-France,France,https://girafe-restaurant.com/paris/,https://girafe-restaurant.com/paris/,
Mun,contact@restaurant-mun.com,Paris,Île-de-France,France,https://restaurant-mun.com,https://restaurant-mun.com/paris/contact-us/,
Bel Canto,paris@lebelcanto.com,Paris,Île-de-France,France,https://www.lebelcanto.com,https://www.annuaire-france.net/Annuaire/Activite.php?activite=Restaurants,
Restaurant Tipaza,tipaza@neuf.fr,Paris,Île-de-France,France,https://www.tipaza.fr,https://www.annuaire-france.net/Annuaire/Activite.php?activite=Restaurants,
Hotel Lutetia,contact@hotellutetia.com,Paris,Île-de-France,France,https://www.hotellutetia.com,https://www.annuaire-france.net/Annuaire/Activite.php?activite=Restaurants,
Le Wepler,restaurant@wepler.com,Paris,Île-de-France,France,https://www.wepler.com,https://www.annuaire-france.net/Annuaire/Activite.php?activite=Restaurants,
Langousta Passy,restaurantlangousta@gmail.com,Paris,Île-de-France,France,https://www.livraisons-fruits-mer-langousta-paris.fr,https://www.annuaire-france.net/Annuaire/Activite.php?activite=Restaurants,
Villa Medici Da Napoli,villamedici@outlook.fr,Paris,Île-de-France,France,https://www.restaurant-villa-medici.com,https://www.annuaire-france.net/Annuaire/Activite.php?activite=Restaurants,
Villa Papillon,villa_papillon@yahoo.com,Paris,Île-de-France,France,https://www.villapapillonparis.com,https://www.annuaire-france.net/Annuaire/Activite.php?activite=Restaurants,
Kok Ping Champs Elysees,restaurantkokping@gmail.com,Paris,Île-de-France,France,https://kokping.fr,https://www.annuaire-france.net/Annuaire/Activite.php?activite=Restaurants,
Chez Michel,chez-michel@wanadoo.fr,Paris,Île-de-France,France,https://www.chez-michel.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=1&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Le Timgad,contact@timgad.fr,Paris,Île-de-France,France,https://www.timgad.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=1&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Pizza Flora,b.andrawis@gmail.com,Paris,Île-de-France,France,https://www.pizza-flora.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=1&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Cafe du Commerce,bellebenoit@me.com,Paris,Île-de-France,France,https://www.cafe-du-commerce-paris13.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=1&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
L'Entracte Opera,edenentracte@gmail.com,Paris,Île-de-France,France,https://www.entracte-opera.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=1&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Le Caroubier,contact@lecaroubier.com,Paris,Île-de-France,France,https://www.restaurant-lecaroubier.com,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=1&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,yes
Substance,contact@substance.paris,Paris,Île-de-France,France,https://www.substance.paris,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=1&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
