Restaurant Name,Business Email,City,State,Website,Source URL
Lili's Brazilian Bistro,lilisbrazilianbistro@gmail.com,Chico,CA,https://lilisbrazilianbistro.com/,https://lilisbrazilianbistro.com/
Table 59,Table59restaurant@gmail.com,Merced,CA,https://table59merced.com/,https://table59merced.com/
Table 26,info@table26.net,Turlock,CA,https://table26.net/,https://table26.net/
Mundo's Latin Grill & Cantina,mundoslatingrill.cantina@gmail.com,Turlock,CA,https://mundoslatingrill.com/,https://mundoslatingrill.com/
Trelio Restaurant,info@treliorestaurant.com,Clovis,CA,https://www.treliorestaurant.com/,https://www.treliorestaurant.com/
Geddy's,info@geddys.com,Bar Harbor,ME,https://geddys.com,https://geddys.com/contact/
The Chart Room,info@chartroombarharbor.com,Bar Harbor,ME,https://chartroombarharbor.com,https://chartroombarharbor.com/
Havana,havanamaine@gmail.com,Bar Harbor,ME,https://havanamaine.com,https://havanamaine.com/
Side Street Cafe,info@SideStreetBarHarbor.com,Bar Harbor,ME,https://sidestreetbarharbor.com,https://sidestreetbarharbor.com/contact-us
Brick Alley Pub,contact@brickalley.com,Newport,RI,https://brickalley.com,https://brickalley.com/
The Reef,info@thereefnewport.com,Newport,RI,https://thereefnewport.com,https://thereefnewport.com/
Perro Salado,office@perrosalado.com,Newport,RI,https://perrosalado.com,https://perrosalado.com/
Easy Bistro & Bar,mr@easybistro.com,Chattanooga,TN,https://www.easybistro.com,https://www.easybistro.com/
Bonito Kitchen,info@bonitokitchenavl.com,Asheville,NC,https://www.bonitokitchenavl.com,https://www.bonitokitchenavl.com/
Twisted Laurel,info@twistedlaurel.com,Asheville,NC,https://twistedlaureldowntownasheville.com,https://twistedlaureldowntownasheville.com/
The Grey,info@thegreyrestaurant.com,Savannah,GA,https://thegreyrestaurant.com,https://thegreyrestaurant.com/
Alligator Soul,alligatorsoulevents@gmail.com,Savannah,GA,https://alligatorsoul.com,https://alligatorsoul.com/
Cotton & Rye,info@cottonandrye.com,Savannah,GA,https://cottonandrye.com,https://cottonandrye.com/
Fonda San Miguel,events@fondasanmiguel.com,Austin,TX,https://www.fondasanmiguel.com,https://www.fondasanmiguel.com/
Justine's Brasserie,info@justines1937.com,Austin,TX,https://justines1937.com,https://justines1937.com/
Home Slice Pizza,slices@homeslicepizza.com,Austin,TX,https://homeslicepizza.com,https://homeslicepizza.com/about
La Fonda on Main,info@lafondaonmain.com,San Antonio,TX,https://www.lafondaonmain.com,https://www.lafondaonmain.com/
Rosario's,info@rosariossa.com,San Antonio,TX,https://rosariossa.com,https://rosariossa.com/contact
82 Queen,82Queen@QueenStreetHospitality.com,Charleston,SC,https://82queen.com,https://82queen.com/
Leon's Oyster Shop,info@leonsoystershop.com,Charleston,SC,https://leonsoystershop.com,https://leonsoystershop.com/
Vern's,hello@vernschs.com,Charleston,SC,https://vernschs.com,https://vernschs.com/
Andina,info@andinarestaurant.com,Portland,OR,https://andinarestaurant.com,https://andinarestaurant.com/
Kachka,info@kachkapdx.com,Portland,OR,https://kachkapdx.com,https://kachkapdx.com/
Screen Door,info@screendoorpdx.com,Portland,OR,https://screendoorrestaurant.com,https://screendoorrestaurant.com/
ChoLon,info@cholonconcepts.com,Denver,CO,https://cholon.com,https://cholon.com/contact
Domo,domo.japaneserestaurant@gmail.com,Denver,CO,https://www.domorestaurant.com,https://www.domorestaurant.com/
Linger,turnup@ediblebeats.com,Denver,CO,https://www.lingerdenver.com,https://www.lingerdenver.com/
